memory profiling: sample.interval=20000
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2053662:102658885:133911400:0:"sq.var" "sampvar" 
:2054672:102659057:134127784:103:
